qseqid;sseqid;pident;length;mismatch;gapopen;qstart;qend;sstart;send;evalue;bitscore
cluster_93;sp|Q86BA1|MICAL_DROME;38.889;468;222;15;7178;5898;818;1262;9.16e-72;268
cluster_93;sp|Q86BA1|MICAL_DROME;39.316;234;99;7;5651;4971;3045;3242;5.91e-27;120
cluster_93;sp|Q86BA1|MICAL_DROME;34.524;168;79;8;4112;3621;3668;3808;2.17e-11;68.6
cluster_93;sp|Q86BA1|MICAL_DROME;51.145;131;59;2;1547;1170;4555;4685;6.74e-08;57.0
cluster_93;sp|Q86BA1|MICAL_DROME;40.323;62;31;1;3053;2886;4038;4099;0.002;42.4
cluster_93;sp|Q86BA1|MICAL_DROME;66.667;24;8;0;2087;2016;4336;4359;0.083;37.0
cluster_93;sp|Q86BA1|MICAL_DROME;45.161;31;17;0;4346;4254;3516;3546;4.2;31.2
cluster_94;sp|Q17241|SGF1_BOMMO;31.461;89;47;3;501;731;105;191;0.001;40.4
cluster_95;sp|Q00449|MDR49_DROME;43.893;1228;636;9;228;3842;31;1228;0.0;984
cluster_95;sp|Q00449|MDR49_DROME;40.820;512;282;8;612;2120;799;1298;1.07e-93;328
cluster_96;sp|B3MUX9|PESC_DROAN;43.137;51;26;1;4171;4314;18;68;0.15;35.0
cluster_97;sp|P16621|LAR_DROME;25.839;298;188;13;6448;5594;530;807;4.24e-11;67.4
cluster_97;sp|P16621|LAR_DROME;28.834;163;110;4;6091;5606;349;506;9.27e-11;66.2
cluster_97;sp|P16621|LAR_DROME;23.588;301;202;11;6454;5576;430;710;1.42e-10;65.5
cluster_97;sp|P16621|LAR_DROME;24.739;287;192;9;6448;5603;829;1096;1.82e-08;58.5
cluster_97;sp|P16621|LAR_DROME;24.016;254;162;9;6361;5624;365;595;1.18e-07;55.8
cluster_97;sp|P16621|LAR_DROME;24.427;131;86;5;6451;6071;924;1045;0.005;40.4
cluster_97;sp|P16621|LAR_DROME;38.636;88;45;4;5848;5591;332;412;0.43;34.3
cluster_99;sp|O44219|ZW10_DROGR;31.667;60;33;2;1477;1647;10;64;3.4;30.8
cluster_101;sp|P05709|SIM_DROME;35.714;42;27;0;3130;3005;263;304;0.17;34.7
cluster_102;sp|O77248|APL3_SPOLT;30.137;73;51;0;6212;6430;99;171;0.20;34.3
cluster_104;sp|Q2M146|ST7_DROPS;74.460;509;97;2;105;1538;5;511;0.0;773
cluster_107;sp|Q24239|ANGEL_DROME;26.496;351;177;14;2301;1279;68;347;5.45e-17;83.2
cluster_109;sp|P10401|POLY_DROME;29.851;67;44;2;1665;1859;129;194;1.0;32.0
cluster_116;sp|Q09101|HIG_DROME;31.707;164;107;3;2625;2143;732;893;3.76e-18;89.0
cluster_116;sp|Q09101|HIG_DROME;27.778;180;120;5;2655;2140;781;958;3.42e-13;72.8
cluster_116;sp|Q09101|HIG_DROME;31.667;60;37;2;3726;3556;832;890;0.051;36.2
cluster_116;sp|Q09101|HIG_DROME;43.333;30;17;0;3669;3580;791;820;3.8;30.4
cluster_121;sp|Q24324|DSOR1_DROME;74.390;410;87;4;4506;3289;1;396;0.0;587
cluster_122;sp|P07207|NOTCH_DROME;23.953;860;406;42;2065;4314;371;1092;2.82e-06;52.0
cluster_122;sp|P07207|NOTCH_DROME;23.366;505;259;22;5791;7038;982;1447;0.007;40.8
cluster_122;sp|P07207|NOTCH_DROME;23.058;399;179;18;5956;7038;784;1092;0.036;38.5
cluster_122;sp|P07207|NOTCH_DROME;24.915;293;145;8;13;753;568;831;0.037;38.5
cluster_122;sp|P07207|NOTCH_DROME;23.729;826;365;40;5041;7269;184;827;0.054;37.7
cluster_122;sp|P07207|NOTCH_DROME;28.226;124;72;5;13;381;1263;1370;1.1;33.5
cluster_122;sp|P07207|NOTCH_DROME;24.242;132;73;4;1165;1503;969;1092;4.4;31.6
cluster_122;sp|P07207|NOTCH_DROME;34.545;55;28;1;1168;1332;241;287;7.2;30.8
cluster_129;sp|A1ZAV1|C2D2A_DROME;29.475;743;463;19;2773;641;617;1330;4.14e-67;249
cluster_129;sp|A1ZAV1|C2D2A_DROME;25.309;324;209;10;4204;3245;217;511;1.06e-12;72.0
cluster_130;sp|Q964R0|CP6K1_BLAGE;49.112;507;236;8;932;2446;30;516;1.53e-168;497
cluster_132;sp|Q7PPA5|ATC1_ANOGA;30.955;995;565;20;231;2864;10;999;3.74e-123;408
cluster_134;sp|Q8IPM8|CPLX_DROME;56.338;142;59;2;5946;5530;1;142;3.70e-12;64.3
cluster_139;sp|Q0IEK6|EPG5_AEDAE;32.143;56;37;1;612;445;789;843;1.5;32.0
cluster_142;sp|Q9VCG3|OPA32_DROME;25.926;81;56;1;3567;3337;138;218;0.75;32.3
cluster_143;sp|Q9W056|C1139_DROME;23.358;137;93;4;6878;6477;274;401;0.67;33.5
cluster_144;sp|P18490|PCX_DROME;30.137;73;48;2;3407;3619;2227;2298;0.96;32.3
cluster_146;sp|Q9VCA2|ORCT_DROME;57.855;401;162;2;3083;4279;119;514;4.15e-140;442
cluster_147;sp|P83104|M3K7L_DROME;35.268;224;110;13;2797;2156;20;218;8.29e-17;82.8
cluster_149;sp|Q9VNM1|NPFR_DROME;26.250;80;50;2;249;482;121;193;0.17;35.0
cluster_150;sp|Q9W1M8|ITA5_DROME;28.261;46;33;0;2948;3085;886;931;4.2;30.8
cluster_152;sp|Q7QGL0|KLHDB_ANOGA;27.273;143;101;1;1433;1005;39;178;6.71e-09;58.9
cluster_154;sp|B3MRS1|NAAT1_DROAN;52.412;622;256;5;207;1958;15;634;0.0;643
cluster_155;sp|Q9W1H4|DNLI1_DROME;29.762;84;48;3;2002;2238;498;575;1.1;32.7
cluster_158;sp|Q7JQ07|MOS1T_DROMA;31.304;115;72;2;2312;1989;177;291;5.94e-11;64.3
cluster_160;sp|O76217|PE1_ANOGA;29.932;147;78;3;498;938;32;153;1.84e-14;70.9
cluster_160;sp|O76217|PE1_ANOGA;27.152;151;77;2;192;644;36;153;4.73e-11;61.2
cluster_160;sp|O76217|PE1_ANOGA;38.298;47;29;0;186;326;107;153;5.68e-05;43.5
cluster_168;sp|Q7PKQ5|ACTN_ANOGA;38.679;106;64;1;4560;4874;150;255;2.70e-18;90.1
cluster_170;sp|Q27367|CRQ_DROME;37.527;461;276;3;201;1571;20;472;6.12e-107;348
cluster_172;sp|P29981|CP4C1_BLADI;30.123;488;307;11;120;1523;33;506;2.83e-62;218
cluster_173;sp|Q24451|MAN2_DROME;42.857;28;16;0;2197;2280;115;142;1.7;31.2
cluster_177;sp|P16568|BICD_DROME;60.931;773;267;9;628;2910;4;753;0.0;772
cluster_185;sp|B0X5E3|KAD2_CULQU;53.571;28;13;0;2260;2177;15;42;1.2;31.6
cluster_187;sp|P13217|PIPA_DROME;66.369;1121;331;4;229;3531;1;1095;0.0;1427
cluster_189;sp|P20241|NRG_DROME;22.139;935;532;44;821;3433;45;847;1.01e-23;108
cluster_190;sp|Q9VC56|PUF_DROME;61.413;736;269;4;4501;2318;2540;3268;0.0;957
cluster_190;sp|Q9VC56|PUF_DROME;40.214;281;149;8;2218;1427;3375;3653;1.13e-48;192
cluster_190;sp|Q9VC56|PUF_DROME;89.474;57;6;0;4804;4634;2322;2378;1.51e-26;119
cluster_195;sp|Q16WU7|WSCD_AEDAE;57.222;180;52;1;389;853;64;243;6.32e-62;213
cluster_197;sp|P29244|GLBW_CHITP;36.957;46;27;1;1804;1935;70;115;3.1;29.6
cluster_200;sp|P91887|AMPN_PLUXY;21.843;792;503;27;2901;766;163;918;5.06e-31;130
cluster_201;sp|Q9V3J8|WDS_DROME;24.648;284;192;6;3834;4655;64;335;2.13e-24;105
cluster_201;sp|Q9V3J8|WDS_DROME;26.070;257;185;3;3114;3869;75;331;5.41e-19;89.4
cluster_201;sp|Q9V3J8|WDS_DROME;28.814;177;122;2;4107;4625;61;237;3.66e-17;83.6
cluster_201;sp|Q9V3J8|WDS_DROME;23.179;302;219;6;3333;4223;64;357;8.35e-15;76.6
cluster_201;sp|Q9V3J8|WDS_DROME;21.111;90;68;1;3114;3374;244;333;0.001;41.2
cluster_201;sp|Q9V3J8|WDS_DROME;22.727;66;50;1;4488;4682;65;130;2.0;31.2
cluster_204;sp|Q9V4C8|HCF_DROME;33.333;45;30;0;2540;2674;1369;1413;5.1;30.0
cluster_206;sp|P12297|SUWA_DROME;33.708;89;51;3;4164;3919;60;147;0.009;38.9
cluster_207;sp|Q9VFP2|RDX_DROME;28.739;341;213;9;233;1183;480;814;7.72e-27;117
cluster_207;sp|Q9VFP2|RDX_DROME;28.249;354;193;8;1522;2478;480;807;3.44e-25;111
cluster_207;sp|Q9VFP2|RDX_DROME;35.885;209;123;2;2944;3558;605;806;7.38e-25;110
cluster_210;sp|Q9VCZ3|OCTB1_DROME;23.556;225;133;9;2368;1766;208;417;4.22e-04;42.4
cluster_211;sp|P13002|ELF1_DROME;68.354;553;116;11;3425;1890;796;1330;0.0;763
cluster_212;sp|B2D0J5|EST6_APIME;32.394;426;258;11;14;1240;103;515;4.51e-58;203
cluster_213;sp|Q9VBP3|TNKS_DROME;32.667;300;147;12;1540;779;488;778;2.81e-17;84.3
cluster_213;sp|Q9VBP3|TNKS_DROME;31.228;285;145;9;1546;821;25;301;1.36e-13;72.4
cluster_213;sp|Q9VBP3|TNKS_DROME;33.766;154;83;3;1540;1085;643;779;2.42e-11;65.1
cluster_213;sp|Q9VBP3|TNKS_DROME;27.099;262;127;6;1453;731;419;637;5.34e-09;57.8
cluster_213;sp|Q9VBP3|TNKS_DROME;28.188;298;145;13;1552;758;176;437;8.06e-06;47.4
cluster_213;sp|Q9VBP3|TNKS_DROME;39.286;112;62;3;1111;779;56;162;0.004;38.5
cluster_213;sp|Q9VBP3|TNKS_DROME;36.667;60;34;1;1432;1253;733;788;0.008;37.4
cluster_215;sp|P49010|HEXC_BOMMO;38.255;596;323;11;397;2139;29;594;6.32e-112;364
cluster_218;sp|P58951|GR22A_DROME;39.024;41;21;1;508;386;282;318;3.1;28.9
cluster_219;sp|Q9VU08|VP13D_DROME;37.909;1712;933;41;16;5046;2303;3919;0.0;1002
cluster_220;sp|Q9VCA8|ANKHM_DROME;87.023;393;51;0;8669;9847;2303;2695;0.0;699
cluster_220;sp|Q9VCA8|ANKHM_DROME;37.465;355;185;4;8702;9670;653;1002;2.56e-54;211
cluster_220;sp|Q9VCA8|ANKHM_DROME;33.333;396;197;8;8672;9670;577;968;3.46e-51;201
cluster_220;sp|Q9VCA8|ANKHM_DROME;37.931;261;129;4;8675;9367;778;1035;6.12e-39;160
cluster_220;sp|Q9VCA8|ANKHM_DROME;36.513;304;149;8;8882;9670;538;838;6.93e-34;143
cluster_220;sp|Q9VCA8|ANKHM_DROME;81.013;79;15;0;10775;11011;3039;3117;1.18e-30;132
cluster_220;sp|Q9VCA8|ANKHM_DROME;42.424;132;75;1;8672;9067;907;1037;1.33e-21;103
cluster_220;sp|Q9VCA8|ANKHM_DROME;35.156;128;66;2;9317;9676;589;707;6.81e-12;70.9
cluster_222;sp|Q7YWA6|SECP_POLHE;56.522;23;10;0;257;325;54;76;0.003;34.3
cluster_223;sp|Q23808|AQP_CICVR;41.150;226;129;4;2428;1757;29;252;4.17e-36;136
cluster_226;sp|P35502|ESTF_MYZPE;31.061;132;86;3;2601;2987;382;511;1.70e-15;80.1
cluster_227;sp|P28159|SUH_DROME;89.238;446;44;3;2309;3637;96;540;0.0;820
cluster_229;sp|Q27934|PHYL_DROME;35.714;42;25;1;5331;5450;249;290;6.0;30.4
cluster_234;sp|Q9W0E8|ZER1_DROME;34.091;88;52;4;1377;1640;165;246;0.37;33.9
cluster_236;sp|Q9VWN5|MINY3_DROME;36.111;36;23;0;169;62;256;291;2.2;30.8
cluster_237;sp|Q178L7|SDHF2_AEDAE;54.730;148;60;2;4365;4787;13;160;4.29e-44;156
cluster_238;sp|Q9VPC0|KP58_DROME;75.260;384;87;2;3797;2670;542;925;0.0;601
cluster_240;sp|O97067|PTH2_DROME;55.645;124;55;0;1922;1551;62;185;5.86e-36;132
cluster_241;sp|O61267|LOK_DROME;45.433;427;208;6;160;1374;32;455;1.35e-124;386
cluster_243;sp|Q9VN45|SPART_DROME;30.233;86;53;4;706;945;201;285;7.8;30.0
cluster_244;sp|Q9V3L1|NDST_DROME;72.145;858;225;3;7325;4794;188;1045;0.0;1315
cluster_245;sp|P08155|KRH1_DROME;43.902;205;113;1;2280;2888;264;468;3.58e-50;191
cluster_245;sp|P08155|KRH1_DROME;37.456;283;168;3;2217;3059;194;469;3.10e-49;188
cluster_245;sp|P08155|KRH1_DROME;43.902;205;113;1;2028;2636;264;468;2.62e-46;179
cluster_245;sp|P08155|KRH1_DROME;43.902;205;113;1;2112;2720;264;468;2.81e-45;176
cluster_245;sp|P08155|KRH1_DROME;44.390;205;112;1;1860;2468;264;468;6.23e-45;174
cluster_245;sp|P08155|KRH1_DROME;42.180;211;120;1;2178;2804;258;468;4.93e-44;172
cluster_245;sp|P08155|KRH1_DROME;43.915;189;104;1;1824;2384;280;468;4.15e-38;153
cluster_245;sp|P08155|KRH1_DROME;33.180;217;137;2;2409;3056;173;382;1.89e-31;132
cluster_245;sp|P08155|KRH1_DROME;36.620;213;112;2;1668;2300;277;468;4.93e-29;124
cluster_245;sp|P08155|KRH1_DROME;24.576;236;120;5;2661;3299;173;373;1.24e-10;64.7
cluster_245;sp|P08155|KRH1_DROME;26.263;99;53;2;3409;3705;271;349;0.016;38.1
cluster_245;sp|P08155|KRH1_DROME;22.273;220;125;7;3298;3882;261;459;0.20;34.7
cluster_246;sp|Q3ZU95|PA1_VESGE;28.421;285;151;9;6887;6087;45;294;4.08e-25;106
cluster_247;sp|Q9I7U4|TITIN_DROME;40.944;784;406;14;499;2811;6462;7201;5.44e-159;560
cluster_247;sp|Q9I7U4|TITIN_DROME;25.250;701;397;22;601;2589;16468;17079;3.91e-40;165
cluster_247;sp|Q9I7U4|TITIN_DROME;28.637;433;288;8;619;1890;4372;4792;6.72e-40;164
cluster_247;sp|Q9I7U4|TITIN_DROME;23.576;755;417;20;751;2610;1442;2171;5.73e-38;158
cluster_247;sp|Q9I7U4|TITIN_DROME;22.644;817;464;23;610;2634;724;1514;7.12e-38;158
cluster_247;sp|Q9I7U4|TITIN_DROME;23.674;773;446;22;688;2643;368;1117;4.40e-37;155
cluster_247;sp|Q9I7U4|TITIN_DROME;23.343;724;433;22;793;2646;3063;3770;8.61e-36;151
cluster_247;sp|Q9I7U4|TITIN_DROME;24.900;747;416;29;769;2655;2916;3635;3.86e-34;145
cluster_247;sp|Q9I7U4|TITIN_DROME;23.383;804;453;28;604;2610;1795;2570;5.25e-34;145
cluster_247;sp|Q9I7U4|TITIN_DROME;27.229;415;280;9;988;2205;4391;4792;1.28e-31;137
cluster_247;sp|Q9I7U4|TITIN_DROME;24.225;677;413;19;697;2613;86;700;1.84e-31;137
cluster_247;sp|Q9I7U4|TITIN_DROME;22.518;826;499;29;700;2820;2754;3557;1.84e-31;137
cluster_247;sp|Q9I7U4|TITIN_DROME;22.542;834;481;26;526;2610;832;1639;2.10e-31;136
cluster_247;sp|Q9I7U4|TITIN_DROME;24.123;456;295;9;661;1890;6828;7278;3.16e-31;136
cluster_247;sp|Q9I7U4|TITIN_DROME;23.030;812;449;26;700;2697;1291;2072;1.18e-30;134
cluster_247;sp|Q9I7U4|TITIN_DROME;24.849;664;426;19;700;2649;4092;4696;1.27e-30;134
cluster_247;sp|Q9I7U4|TITIN_DROME;23.419;743;423;23;775;2610;2384;3111;1.61e-30;134
cluster_247;sp|Q9I7U4|TITIN_DROME;23.718;780;439;27;775;2715;1718;2474;2.55e-30;133
cluster_247;sp|Q9I7U4|TITIN_DROME;23.114;822;472;31;691;2709;3260;4070;3.66e-30;132
cluster_247;sp|Q9I7U4|TITIN_DROME;25.140;712;421;26;682;2649;16619;17274;6.35e-30;132
cluster_247;sp|Q9I7U4|TITIN_DROME;22.790;803;461;26;700;2703;1558;2336;1.11e-29;130
cluster_247;sp|Q9I7U4|TITIN_DROME;23.342;784;439;31;700;2643;1958;2715;6.87e-29;128
cluster_247;sp|Q9I7U4|TITIN_DROME;23.529;782;410;28;799;2670;3437;4188;3.04e-28;126
cluster_247;sp|Q9I7U4|TITIN_DROME;25.408;429;265;9;1309;2577;4392;4771;1.87e-26;120
cluster_247;sp|Q9I7U4|TITIN_DROME;26.681;476;285;17;799;2205;16950;17368;3.85e-25;115
cluster_247;sp|Q9I7U4|TITIN_DROME;41.791;134;75;1;4821;5213;7435;7568;2.46e-21;103
cluster_247;sp|Q9I7U4|TITIN_DROME;24.109;477;267;11;1312;2643;16500;16914;2.55e-21;103
cluster_247;sp|Q9I7U4|TITIN_DROME;26.214;309;211;6;697;1596;4496;4796;8.69e-21;101
cluster_247;sp|Q9I7U4|TITIN_DROME;25.369;339;209;8;700;1587;6942;7279;9.29e-21;101
cluster_247;sp|Q9I7U4|TITIN_DROME;23.328;583;388;18;718;2313;6746;7320;7.57e-20;98.6
cluster_247;sp|Q9I7U4|TITIN_DROME;27.000;400;245;13;733;1893;17290;17655;1.15e-17;91.3
cluster_247;sp|Q9I7U4|TITIN_DROME;25.919;517;314;23;694;2199;17095;17557;3.60e-15;82.8
cluster_247;sp|Q9I7U4|TITIN_DROME;24.638;276;160;7;1921;2643;83;345;4.45e-14;79.3
cluster_247;sp|Q9I7U4|TITIN_DROME;35.484;93;60;0;3432;3710;7184;7276;1.11e-12;74.7
cluster_247;sp|Q9I7U4|TITIN_DROME;37.755;98;60;1;2362;2655;16500;16596;1.22e-12;74.7
cluster_247;sp|Q9I7U4|TITIN_DROME;23.800;479;323;13;751;2175;17204;17644;5.34e-12;72.4
cluster_247;sp|Q9I7U4|TITIN_DROME;21.722;511;284;18;697;1893;3675;4181;7.90e-12;72.0
cluster_247;sp|Q9I7U4|TITIN_DROME;23.514;370;205;9;1621;2655;16501;16817;4.49e-11;69.3
cluster_247;sp|Q9I7U4|TITIN_DROME;26.601;203;131;5;991;1593;17471;17657;4.16e-09;62.8
cluster_247;sp|Q9I7U4|TITIN_DROME;35.106;94;59;1;3444;3719;1690;1783;4.10e-08;59.7
cluster_247;sp|Q9I7U4|TITIN_DROME;36.957;92;58;0;3444;3719;470;561;1.86e-07;57.4
cluster_247;sp|Q9I7U4|TITIN_DROME;27.473;91;66;0;3447;3719;6536;6626;2.40e-06;53.5
cluster_247;sp|Q9I7U4|TITIN_DROME;30.851;94;56;2;3444;3719;16727;16813;9.06e-06;51.6
cluster_247;sp|Q9I7U4|TITIN_DROME;37.634;93;53;3;3444;3719;17472;17560;1.06e-05;51.6
cluster_247;sp|Q9I7U4|TITIN_DROME;36.634;101;54;3;18561;18851;14832;14926;1.92e-05;50.8
cluster_247;sp|Q9I7U4|TITIN_DROME;31.461;89;58;2;3447;3704;3954;4042;3.42e-05;50.1
cluster_247;sp|Q9I7U4|TITIN_DROME;34.783;92;60;0;3444;3719;4393;4484;3.75e-05;49.7
cluster_247;sp|Q9I7U4|TITIN_DROME;28.125;96;69;0;3432;3719;4599;4694;5.15e-05;49.3
cluster_247;sp|Q9I7U4|TITIN_DROME;28.723;94;65;2;3444;3719;6941;7034;6.09e-05;48.9
cluster_247;sp|Q9I7U4|TITIN_DROME;31.818;88;58;1;3447;3704;3811;3898;7.76e-05;48.5
cluster_247;sp|Q9I7U4|TITIN_DROME;28.421;95;62;2;3432;3704;1553;1645;7.89e-05;48.5
cluster_247;sp|Q9I7U4|TITIN_DROME;29.032;93;65;1;3444;3719;16500;16592;1.02e-04;48.1
cluster_247;sp|Q9I7U4|TITIN_DROME;28.571;98;67;2;3432;3716;2351;2448;2.54e-04;47.0
cluster_247;sp|Q9I7U4|TITIN_DROME;27.957;93;64;2;3441;3710;3674;3766;4.71e-04;46.2
cluster_247;sp|Q9I7U4|TITIN_DROME;31.325;166;113;1;18579;19073;11901;12066;4.75e-04;46.2
cluster_247;sp|Q9I7U4|TITIN_DROME;26.596;94;67;1;3435;3710;2750;2843;0.001;44.7
cluster_247;sp|Q9I7U4|TITIN_DROME;25.275;91;67;1;3447;3716;372;462;0.002;44.3
cluster_247;sp|Q9I7U4|TITIN_DROME;31.765;85;55;2;3447;3692;2089;2173;0.002;43.9
cluster_247;sp|Q9I7U4|TITIN_DROME;37.975;79;46;1;22149;22385;14851;14926;0.002;43.9
cluster_247;sp|Q9I7U4|TITIN_DROME;26.471;136;81;5;718;1107;17479;17601;0.003;43.5
cluster_247;sp|Q9I7U4|TITIN_DROME;24.211;95;68;2;3441;3719;85;177;0.013;41.2
cluster_247;sp|Q9I7U4|TITIN_DROME;31.683;101;63;3;3417;3716;16997;17092;0.023;40.4
cluster_247;sp|Q9I7U4|TITIN_DROME;29.630;81;51;2;3480;3710;3041;3119;0.031;40.0
cluster_247;sp|Q9I7U4|TITIN_DROME;28.261;92;64;1;3447;3716;1958;2049;0.035;40.0
cluster_247;sp|Q9I7U4|TITIN_DROME;28.866;97;62;3;3444;3719;3400;3494;0.046;39.7
cluster_247;sp|Q9I7U4|TITIN_DROME;26.374;91;67;0;3447;3719;4497;4587;0.056;39.3
cluster_247;sp|Q9I7U4|TITIN_DROME;25.000;92;67;1;3447;3716;618;709;0.058;39.3
cluster_247;sp|Q9I7U4|TITIN_DROME;28.169;71;49;1;3504;3710;1444;1514;0.069;38.9
cluster_247;sp|Q9I7U4|TITIN_DROME;31.250;80;55;0;3477;3716;17289;17368;0.076;38.9
cluster_247;sp|Q9I7U4|TITIN_DROME;26.804;97;69;1;3435;3719;3535;3631;0.078;38.9
cluster_247;sp|Q9I7U4|TITIN_DROME;23.469;98;73;1;3429;3716;1285;1382;0.15;37.7
cluster_247;sp|Q9I7U4|TITIN_DROME;28.814;59;42;0;3540;3716;2926;2984;0.19;37.4
cluster_247;sp|Q9I7U4|TITIN_DROME;26.582;79;56;1;3480;3710;3142;3220;0.28;37.0
cluster_247;sp|Q9I7U4|TITIN_DROME;27.027;74;54;0;3495;3716;6756;6829;0.39;36.6
cluster_247;sp|Q9I7U4|TITIN_DROME;26.804;97;68;2;3438;3719;2619;2715;0.41;36.2
cluster_247;sp|Q9I7U4|TITIN_DROME;31.313;99;61;3;3426;3719;17090;17182;0.51;36.2
cluster_247;sp|Q9I7U4|TITIN_DROME;23.913;92;70;0;3444;3719;254;345;1.1;35.0
cluster_247;sp|Q9I7U4|TITIN_DROME;27.273;88;58;1;3447;3692;16625;16712;1.8;34.3
cluster_247;sp|Q9I7U4|TITIN_DROME;41.176;34;16;1;3453;3554;6643;6672;2.6;33.9
cluster_247;sp|Q9I7U4|TITIN_DROME;30.508;59;41;0;3540;3716;924;982;8.0;32.0
cluster_247;sp|Q9I7U4|TITIN_DROME;28.070;57;41;0;3522;3692;2516;2572;9.4;32.0
cluster_248;sp|P30432|FUR2_DROME;47.205;322;153;7;96;1040;1250;1561;3.95e-75;266
